experiment,unit,unit_number,id_1,id_2,id_3,time,date,salinity,pHat25,fileName,unit_ID,alk,insituTemp,pHinsitu,dateString,treatName,treatpH,treatTemp,treatOther,dic,JarID,Jar_ID,BottleCohort,treatment
Krill,Chamber,9,Bottle,N/A,CH09_01,0.511805556,8/27/21,31.37,7.598534362,SPEC TEMPLATE 2019_ID1_ID2_ID3_jarTest_Day00.xlsx,Chamber_9,2101.82865,10,7.810023872,8/27/21,High_pH_Low_T,8,10,,2026.900705,N/A,N/A,CH09_01,MidCO2
Krill,Chamber,9,Bottle,N/A,CH09_02,0.513888889,8/27/21,31.37,7.604041035,SPEC TEMPLATE 2019_ID1_ID2_ID3_jarTest_Day00.xlsx,Chamber_9,2101.82865,10,7.815938996,8/27/21,High_pH_Low_T,8,10,,2025.136899,N/A,N/A,CH09_02,MidCO2
Krill,Chamber,9,Bottle,N/A,CH09_03,0.652777778,8/27/21,30.25,7.595937965,SPEC TEMPLATE 2019_ID1_ID2_ID3_jarTest_Day00.xlsx,Chamber_9,2045.44225,10,7.806603371,8/27/21,High_pH_Low_T,8,10,,1976.410054,N/A,N/A,CH10_01,HiCO2
Krill,Chamber,9,Bottle,N/A,CH09_03a,0.619444444,8/27/21,29.54,7.597436065,SPEC TEMPLATE 2019_ID1_ID2_ID3_jarTest_Day00.xlsx,Chamber_9,2009.6973,10,7.807803577,8/27/21,High_pH_Low_T,8,10,,1943.364607,N/A,N/A,CH10_02,HiCO2
Krill,Chamber,9,Bottle,N/A,CH09_04,0.711111111,8/27/21,29.74,7.614307915,SPEC TEMPLATE 2019_ID1_ID2_ID3_jarTest_Day00.xlsx,Chamber_9,2019.7663,10,7.826067877,8/27/21,High_pH_Low_T,8,10,,1947.436378,N/A,N/A,CH10_03,HiCO2
Krill,Chamber,10,Bottle,N/A,CH10_01,0.514583333,8/27/21,31.06,7.28725856,SPEC TEMPLATE 2019_ID1_ID2_ID3_jarTest_Day00.xlsx,Chamber_10,2086.2217,10,7.46975845,8/27/21,Low_pH_Low_T,7.2,10,,2105.857788,N/A,N/A,CH09_03,MidCO2
Krill,Chamber,10,Bottle,N/A,CH10_02,0.647916667,8/27/21,30.25,7.30507588,SPEC TEMPLATE 2019_ID1_ID2_ID3_jarTest_Day00.xlsx,Chamber_10,2045.44225,10,7.488708953,8/27/21,Low_pH_Low_T,7.2,10,,2061.134735,N/A,N/A,CH10_03a,HiCO2
Krill,Chamber,10,Bottle,N/A,CH10_03,0.554861111,8/27/21,30.25,7.329928666,SPEC TEMPLATE 2019_ID1_ID2_ID3_jarTest_Day00.xlsx,Chamber_10,2045.44225,10,7.516008794,8/27/21,Low_pH_Low_T,7.2,10,,2053.884117,N/A,N/A,CH09_03a,MidCO2
Krill,Chamber,10,Bottle,N/A,CH10_03a,0.620833333,8/27/21,29.45,7.351897256,SPEC TEMPLATE 2019_ID1_ID2_ID3_jarTest_Day00.xlsx,Chamber_10,2005.16625,10,7.539541418,8/27/21,Low_pH_Low_T,7.2,10,,2008.933718,N/A,N/A,CH09_04,MidCO2
Krill,Chamber,10,Bottle,N/A,CH10_04,0.695833333,8/27/21,29.98,7.394183929,SPEC TEMPLATE 2019_ID1_ID2_ID3_jarTest_Day00.xlsx,Chamber_10,2031.8491,10,7.586454318,8/27/21,Low_pH_Low_T,7.2,10,,2022.467904,N/A,N/A,CH10_04,HiCO2
Krill,Chamber,9,Jar,ColtPlastics_insert,J2A,0.602777778,8/30/21,29.2,7.519423945,SPEC TEMPLATE 2019_ID1_ID2_ID3_jarTest_Day03_Cohort2.xlsx,Chamber_9,1992.58,10,7.723061192,8/30/21,High_pH_Low_T,8,10,,1950.243111,J2A,J2A,CH09_02,MidCO2
Krill,Chamber,9,Jar,ColtPlastics_insert,J2A,0.602777778,8/30/21,29.2,7.528510481,SPEC TEMPLATE 2019_ID1_ID2_ID3_jarTest_Day03_Cohort2.xlsx,Chamber_9,1992.58,10,7.732953743,8/30/21,High_pH_Low_T,8,10,,1947.669278,J2A,J2A,CH09_02,MidCO2
Krill,Chamber,9,Jar,ColtPlastics_insert,J2B,0.599305556,8/30/21,29.05,7.520680474,SPEC TEMPLATE 2019_ID1_ID2_ID3_jarTest_Day03_Cohort3.xlsx,Chamber_9,1985.02825,10,7.724325471,8/30/21,High_pH_Low_T,8,10,,1942.872098,J2B,J2B,CH09_03,MidCO2
Krill,Chamber,9,Jar,ColtPlastics_insert,J2B,0.6,8/30/21,29.05,7.531817465,SPEC TEMPLATE 2019_ID1_ID2_ID3_jarTest_Day03_Cohort3.xlsx,Chamber_9,1985.02825,10,7.736448851,8/30/21,High_pH_Low_T,8,10,,1939.730907,J2B,J2B,CH09_03,MidCO2
Krill,Chamber,9,Jar,ColtPlastics_insert,J2C,0.577777778,8/30/21,29.05,7.508513414,SPEC TEMPLATE 2019_ID1_ID2_ID3_jarTest_Day03_Cohort1.xlsx,Chamber_9,1985.02825,10,7.711062177,8/30/21,High_pH_Low_T,8,10,,1946.287224,J2C,J2D,CH09_04,MidCO2
Krill,Chamber,9,Jar,ColtPlastics_insert,J2C,0.579166667,8/30/21,29.05,7.51744126,SPEC TEMPLATE 2019_ID1_ID2_ID3_jarTest_Day03_Cohort1.xlsx,Chamber_9,1985.02825,10,7.720796266,8/30/21,High_pH_Low_T,8,10,,1943.782916,J2C,J2D,CH09_04,MidCO2
Krill,Chamber,9,Jar,ColtPlastics_insert,J2D,0.785416667,8/30/21,30.01,7.540426877,SPEC TEMPLATE 2019_ID1_ID2_ID3_jarTest_Day03_Cohort6.xlsx,Chamber_9,2033.35945,10,7.746445345,8/30/21,High_pH_Low_T,8,10,,1981.966459,J2D,J2E,CH09_01,MidCO2
Krill,Chamber,9,Jar,ColtPlastics_insert,J2D,0.785416667,8/30/21,30.01,7.555890421,SPEC TEMPLATE 2019_ID1_ID2_ID3_jarTest_Day03_Cohort6.xlsx,Chamber_9,2033.35945,10,7.763212546,8/30/21,High_pH_Low_T,8,10,,1977.405897,J2D,J2E,CH09_01,MidCO2
Krill,Chamber,9,Jar,ColtPlastics_insert,J2E,0.56875,8/30/21,29.99,7.534980689,SPEC TEMPLATE 2019_ID1_ID2_ID3_jarTest_Day03_Cohort6.xlsx,Chamber_9,2032.35255,10,7.740518481,8/30/21,High_pH_Low_T,8,10,,1982.632833,J2E,J2F,CH10_01,HiCO2
Krill,Chamber,9,Jar,ColtPlastics_insert,J2E,0.56875,8/30/21,29.99,7.540469077,SPEC TEMPLATE 2019_ID1_ID2_ID3_jarTest_Day03_Cohort6.xlsx,Chamber_9,2032.35255,10,7.746478126,8/30/21,High_pH_Low_T,8,10,,1981.024209,J2E,J2F,CH10_01,HiCO2
Krill,Chamber,10,Jar,ColtPlastics_insert,J2F,0.532638889,8/30/21,29.99,7.263936334,SPEC TEMPLATE 2019_ID1_ID2_ID3_jarTest_Day03_Cohort6.xlsx,Chamber_10,2032.35255,10,7.44342381,8/30/21,Low_pH_Low_T,7.2,10,,2060.612556,J2F,J2G,CH10_01,HiCO2
